title;description;deadline;completed;duration;importance;hatelevel
Wedge compression fracture of T5-T6 vertebra, subsequent encounter for fracture with delayed healing;Displaced fracture of left ulna styloid process, subsequent encounter for closed fracture with routine healing;2024-02-01T00:00:00.0000000+01:00;False;8216;4;3
In-line roller-skater colliding with stationary object, initial encounter;Asphyxiation due to plastic bag, assault, sequela;;False;66975;4;0
Infection and inflammatory reaction due to urinary catheter;Poisoning by caffeine, undetermined, initial encounter;;True;5417;1;1
Pigmentary glaucoma, left eye, severe stage;Poisoning by methadone, undetermined, initial encounter;;True;65731;2;4
Other articular cartilage disorders, right hip;Late congenital syphilitic interstitial keratitis;;False;26869;3;4
External constriction of unspecified external genital organs, male, subsequent encounter;Displaced fracture of lateral condyle of right tibia;;False;10670;2;3
Burn of second degree of unspecified ankle, sequela;Unspecified injury of right hip, initial encounter;2023-01-11T00:00:00.0000000+01:00;False;14630;3;0
Other disorders of skin and subcutaneous tissue, not elsewhere classified;Injury of cutaneous sensory nerve at forearm level, unspecified arm;;True;46529;1;4
Person boarding or alighting a pick-up truck or van injured in noncollision transport accident, initial encounter;Displaced fracture of anterior column [iliopubic] of right acetabulum, subsequent encounter for fracture with routine healing;;False;2138;3;1
Pathological fracture in neoplastic disease, unspecified femur, subsequent encounter for fracture with nonunion;Laceration of blood vessel of other finger, subsequent encounter;2023-09-12T00:00:00.0000000+02:00;False;16287;3;4
Other complications of foreign body accidentally left in body following other procedure, subsequent encounter;Other superficial bite of right middle finger, sequela;;True;69783;3;1
Complete traumatic metacarpophalangeal amputation of right thumb, initial encounter;Nondisplaced fracture of lateral end of right clavicle, subsequent encounter for fracture with nonunion;;True;58985;1;1
Unspecified injury of unspecified blood vessel at wrist and hand level of right arm, initial encounter;ABO incompatibility with hemolytic transfusion reaction, unspecified, sequela;;True;75786;0;3
Unspecified injury of right shoulder and upper arm, sequela;Puncture wound of abdominal wall without foreign body, periumbilic region without penetration into peritoneal cavity, subsequent encounter;2024-06-08T00:00:00.0000000+02:00;True;28693;0;0
Nondisplaced fracture of greater trochanter of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion;Nondisplaced fracture of fourth metatarsal bone, unspecified foot, subsequent encounter for fracture with nonunion;2024-03-04T00:00:00.0000000+01:00;True;38633;1;3
Unspecified injury of unspecified blood vessel at ankle and foot level, right leg, sequela;Alcohol abuse;;False;11033;2;4
Congenital deformity of finger(s) and hand;Displaced fracture of proximal phalanx of unspecified great toe, initial encounter for closed fracture;2024-02-05T00:00:00.0000000+01:00;True;9300;2;4
Pseudofolliculitis barbae;Corrosion of first degree of unspecified thigh, initial encounter;2024-07-05T00:00:00.0000000+02:00;True;73374;0;2
Palindromic rheumatism, left hand;Fracture of unspecified carpal bone, right wrist, initial encounter for closed fracture;2024-01-05T00:00:00.0000000+01:00;False;67260;1;2
Tyrosinase positive oculocutaneous albinism;Driver of ambulance or fire engine injured in traffic accident, initial encounter;;False;74750;1;4
Nondisplaced fracture of medial condyle of unspecified humerus, subsequent encounter for fracture with routine healing;Strain of flexor muscle, fascia and tendon of left index finger at forearm level, subsequent encounter;2024-02-02T00:00:00.0000000+01:00;True;56767;1;2
Displaced oblique fracture of shaft of left radius;Drowning and submersion while in swimming pool, undetermined intent, sequela;;True;12124;4;4
Pulsatile tinnitus, bilateral;Burn of first degree of unspecified wrist, initial encounter;2024-10-07T00:00:00.0000000+02:00;False;53941;1;3
Crushing injury of right wrist and hand, sequela;Stress fracture, right fibula, initial encounter for fracture;;False;76592;2;3
Preterm labor second trimester with preterm delivery second trimester, fetus 2;Torus fracture of lower end of unspecified tibia, subsequent encounter for fracture with nonunion;2024-01-04T00:00:00.0000000+01:00;True;44743;4;0
Salter-Harris Type I physeal fracture of right metatarsal, subsequent encounter for fracture with routine healing;Underdosing of other antidepressants, sequela;;False;47897;2;1
Nondisplaced transverse fracture of shaft of right fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing;Breakdown (mechanical) of internal fixation device of bone of left lower leg, subsequent encounter;;False;16394;2;4
Strain of intrinsic muscle and tendon at ankle and foot level, right foot, sequela;Other abnormal cytological findings on specimens from cervix uteri;;False;11127;3;4
Partial traumatic transphalangeal amputation of right little finger, subsequent encounter;Fall down embankment (hill);;False;79362;3;1
Toxic effect of ethanol, undetermined, sequela;Unspecified abnormal findings in urine;2024-11-07T00:00:00.0000000+01:00;False;83007;2;3
Osteopathy after poliomyelitis, upper arm;Mixed disorder of acid-base balance;2024-06-06T00:00:00.0000000+02:00;True;48222;3;3
Dislocation of T8/T9 thoracic vertebra, subsequent encounter;Displaced fracture of distal phalanx of right middle finger, initial encounter for closed fracture;;True;57835;0;3
Unspecified tear of unspecified meniscus, current injury, right knee, initial encounter;Unspecified fracture of right ischium, sequela;2024-08-07T00:00:00.0000000+02:00;True;16070;0;4
Minor laceration of unspecified carotid artery, sequela;Sprain of medial collateral ligament of knee;2024-05-03T00:00:00.0000000+02:00;False;14038;4;1
Pressure collapse of lung due to anesthesia during pregnancy, third trimester;Androphobia;2023-11-12T00:00:00.0000000+01:00;True;35909;3;1
Unspecified injury of other blood vessels at forearm level, unspecified arm, sequela;Unspecified dislocation of left sternoclavicular joint, subsequent encounter;;True;3860;3;1
Passenger in pick-up truck or van injured in collision with other nonmotor vehicle in traffic accident, subsequent encounter;Abrasion of right shoulder;;False;62438;0;0
Other paralytic strabismus, left eye;Palindromic rheumatism, right hip;;True;60368;0;3
Nondisplaced transverse fracture of right patella, sequela;Multiple fractures of ribs, unspecified side, initial encounter for closed fracture;;False;27330;3;1
Exposure to other rapid changes in air pressure during descent, sequela;Nondisplaced fracture of lateral cuneiform of right foot;;True;69882;4;0
Poisoning by sulfonamides, assault;Jumping or diving from boat striking bottom;;False;48864;1;1
Poisoning by anticoagulant antagonists, vitamin K and other coagulants, intentional self-harm, initial encounter;Benign and innocent cardiac murmurs;2024-12-08T00:00:00.0000000+01:00;True;25590;1;0
Displaced spiral fracture of shaft of ulna, unspecified arm, initial encounter for open fracture type IIIA, IIIB, or IIIC;Effects of heat and light;2023-06-09T00:00:00.0000000+02:00;True;83926;4;2
Other injury of muscle, fascia and tendon of abdomen, subsequent encounter;Ring staphyloma;;False;12090;0;1
Contusion and laceration of cerebrum, unspecified, with loss of consciousness greater than 24 hours with return to pre-existing conscious level, subsequent encounter;Burn of second degree of left elbow;;False;5666;1;2
Other physeal fracture of phalanx of left toe, initial encounter for closed fracture;Unspecified fracture of the lower end of right radius;;False;85727;0;0
Malar fracture, left side, sequela;Unspecified fracture of right ilium, initial encounter for open fracture;2024-07-05T00:00:00.0000000+02:00;True;18931;4;1
Other specified injury of unspecified external jugular vein;Terrorism involving explosion of marine weapons, civilian injured, initial encounter;2024-01-08T00:00:00.0000000+01:00;False;30092;4;0
Nondisplaced spiral fracture of shaft of left femur, subsequent encounter for closed fracture with delayed healing;Fracture of unspecified phalanx of left little finger, sequela;2024-02-09T00:00:00.0000000+01:00;True;68642;0;3
Person on outside of heavy transport vehicle injured in collision with railway train or railway vehicle in traffic accident, sequela;Toxic effect of fusel oil, undetermined;;False;53149;0;3
Traumatic rupture of collateral ligament of left index finger at metacarpophalangeal and interphalangeal joint, initial encounter;Arthropathies in other specified diseases classified elsewhere, left hip;;False;76102;1;2
Complete traumatic metacarpophalangeal amputation of thumb;Other fracture of fifth lumbar vertebra, subsequent encounter for fracture with nonunion;;True;11590;3;4
Laceration of blood vessel of right thumb, initial encounter;Other physeal fracture of right calcaneus;2024-07-01T00:00:00.0000000+02:00;False;10902;0;3
War operations involving explosion due to accidental detonation and discharge of own munitions or munitions launch device, civilian, sequela;Abscess of tendon sheath, unspecified thigh;;True;30180;0;3
Contusion and laceration of right cerebrum with loss of consciousness of 1 hour to 5 hours 59 minutes, subsequent encounter;Other hyperaldosteronism;;False;80180;1;3
Other intraarticular fracture of lower end of unspecified radius, subsequent encounter for closed fracture with nonunion;Hit or struck by falling object due to accident to canoe or kayak, sequela;2023-10-12T00:00:00.0000000+02:00;False;72428;2;3
Unspecified fall due to ice and snow, sequela;Poisoning by other narcotics, assault;;True;70889;0;0
Juvenile arthritis, unspecified, right knee;Occupant (driver) (passenger) of three-wheeled motor vehicle injured in transport accident with military vehicle, initial encounter;2024-05-05T00:00:00.0000000+02:00;False;66775;2;3
Exposure to other specified electric current;Poisoning by aminoglycosides, undetermined;;False;4775;1;1
Major osseous defect, unspecified humerus;Poisoning by other agents primarily affecting the cardiovascular system, assault, subsequent encounter;2024-05-06T00:00:00.0000000+02:00;False;76420;3;3
Toxic effect of contact with other venomous amphibian, accidental (unintentional), sequela;Kearns-Sayre syndrome, unspecified eye;;False;63959;3;1
Fracture of nasal bones, subsequent encounter for fracture with delayed healing;Other types of follicular lymphoma, lymph nodes of multiple sites;2023-12-11T00:00:00.0000000+01:00;False;25432;3;2
Nontoxic multinodular goiter;Keratoconjunctivitis sicca, not specified as Sjogren's, right eye;;False;63403;0;2
Puncture wound without foreign body of other finger without damage to nail, initial encounter;Poisoning by ganglionic blocking drugs, assault, sequela;;False;68597;2;2
Unspecified Zone III fracture of sacrum, subsequent encounter for fracture with routine healing;Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without macular edema;2024-10-01T00:00:00.0000000+02:00;True;22284;2;0
Toxic effect of sulfur dioxide, undetermined;Pathological fracture in other disease, unspecified ulna and radius, subsequent encounter for fracture with delayed healing;;True;68027;2;4
Superficial foreign body of left hand, initial encounter;Puncture wound without foreign body, right lower leg, initial encounter;2024-12-03T00:00:00.0000000+01:00;True;16796;4;3
Post-term pregnancy;Pathological fracture in other disease, left tibia, sequela;;False;21738;3;3
Other fracture of upper end of left ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing;Term delivery with preterm labor, second trimester, fetus 5;2023-08-09T00:00:00.0000000+02:00;False;32911;3;0
Other mechanical complication of bile duct prosthesis, sequela;Motorcycle passenger injured in collision with pedal cycle in nontraffic accident;2024-01-02T00:00:00.0000000+01:00;False;70606;4;3
Poisoning by keratolytics, keratoplastics, and other hair treatment drugs and preparations, undetermined, initial encounter;Melanoma in situ of breast (skin) (soft tissue);;True;79233;0;3
Child neglect or abandonment, suspected, sequela;Fear of thunderstorms;2024-09-04T00:00:00.0000000+02:00;False;61948;1;3
Pneumonia due to other specified bacteria;Stress fracture, right femur, subsequent encounter for fracture with routine healing;;False;7940;2;2
Burn of second degree of lower leg;Other mechanical complication of other cardiac electronic device, sequela;;False;67080;4;2
Lead-induced chronic gout, left ankle and foot;Diverticulitis of both small and large intestine with perforation and abscess;2024-10-02T00:00:00.0000000+02:00;False;13267;3;0
Nonexudative age-related macular degeneration, bilateral, advanced atrophic without subfoveal involvement;Cyclothymic disorder;;True;9140;1;1
Pathological fracture in other disease, left femur, subsequent encounter for fracture with routine healing;Unspecified injury of extensor muscle, fascia and tendon of left middle finger at wrist and hand level, sequela;;True;76495;4;4
Dislocation of jaw, right side;Nondisplaced fracture of left tibial tuberosity, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing;2023-07-10T00:00:00.0000000+02:00;True;25632;2;1
Drug-induced chronic gout, hip;Other subluxation of left knee, subsequent encounter;;True;59532;1;1
Synovial hypertrophy, not elsewhere classified, right forearm;Person boarding or alighting a pick-up truck or van injured in collision with car, pick-up truck or van, initial encounter;2023-03-11T00:00:00.0000000+01:00;False;45610;2;0
Displaced fracture of lateral end of unspecified clavicle, sequela;Heat exposure on board sailboat;2024-02-02T00:00:00.0000000+01:00;False;66715;4;2
Accidental malfunction from other specified firearms, initial encounter;Atherosclerosis of autologous vein coronary artery bypass graft(s) with other forms of angina pectoris;;False;363;2;4
Poisoning by pertussis vaccine, including combinations with a pertussis component, accidental (unintentional), initial encounter;Other intervertebral disc displacement, lumbosacral region;;False;26190;0;2
Lacrimal fistula unspecified lacrimal passage;Burn of second degree of multiple sites of right ankle and foot;;False;63922;0;4
Displaced fracture of body of right calcaneus, initial encounter for closed fracture;Nondisplaced fracture of medial condyle of right tibia, initial encounter for open fracture type IIIA, IIIB, or IIIC;;True;49241;1;1
Toxic effect of cobra venom, undetermined, subsequent encounter;Insect bite of other specified part of neck, sequela;;True;27346;0;0
Laceration with foreign body of right little finger without damage to nail;Salter-Harris Type III physeal fracture of upper end of radius, right arm, sequela;2023-09-10T00:00:00.0000000+02:00;True;3940;2;2
Effects of weightlessness, subsequent encounter;Nondisplaced osteochondral fracture of right patella, initial encounter for closed fracture;2024-06-01T00:00:00.0000000+02:00;True;62907;4;0
Puncture wound without foreign body of left lesser toe(s) without damage to nail, subsequent encounter;Other extraarticular fracture of lower end of left radius;;True;61342;1;1
Prosthetic and other implants, materials and accessory general- and plastic-surgery devices associated with adverse incidents;Malignant neoplasm of gum;2024-12-07T00:00:00.0000000+01:00;False;46065;4;0
Drowning and submersion due to falling or jumping from crushed passenger ship;Cutaneous abscess of limb;;True;2989;2;4
Acute pain due to trauma;Actinomycosis;;True;80263;2;3
Cyst of kidney, acquired;Incomplete atypical femoral fracture, unspecified leg, sequela;;False;45162;4;4
Discoid lupus erythematosus of left lower eyelid;Palindromic rheumatism, unspecified hip;2024-07-03T00:00:00.0000000+02:00;False;59918;3;4
Adhesions due to foreign body accidentally left in body following injection or immunization, subsequent encounter;Other specified acquired deformities of right forearm;2024-11-08T00:00:00.0000000+01:00;False;20784;4;3
Derangement of unspecified lateral meniscus due to old tear or injury, unspecified knee;Marginal corneal ulcer, unspecified eye;;False;67768;0;4
Other superficial bite of left knee, sequela;Toxic effect of other insecticides;2024-08-03T00:00:00.0000000+02:00;True;32422;4;1
Unspecified displaced fracture of seventh cervical vertebra;Other nondisplaced fracture of seventh cervical vertebra, subsequent encounter for fracture with nonunion;2024-10-08T00:00:00.0000000+02:00;True;37937;1;3
Burn of third degree of left thigh, initial encounter;Atherosclerosis of nonbiological bypass graft(s) of the extremities with intermittent claudication, unspecified extremity;;True;24369;1;2
Zoological garden (Zoo) as the place of occurrence of the external cause;Stress fracture, right foot;;True;7647;2;4
Contusion of unspecified forearm, subsequent encounter;Hemorrhage due to other internal prosthetic devices, implants and grafts;2024-10-05T00:00:00.0000000+02:00;False;58753;4;4
Other diseases of pericardium;Ring staphyloma;2024-11-08T00:00:00.0000000+01:00;True;40606;2;1
Underdosing of unspecified hormones and synthetic substitutes;Military operations involving destruction of aircraft due to onboard fire, civilian, initial encounter;;True;81287;2;0
Fracture of unspecified phalanx of right middle finger, sequela;Military operations involving unarmed hand to hand combat, military personnel, sequela;2023-02-10T00:00:00.0000000+01:00;False;25891;2;1
Torus fracture of lower end of left fibula, sequela;Adverse effect of predominantly alpha-adrenoreceptor agonists;2024-10-08T00:00:00.0000000+02:00;True;41316;1;3
Zygomatic fracture, right side, subsequent encounter for fracture with nonunion;Lead-induced gout, unspecified wrist;2024-04-03T00:00:00.0000000+02:00;False;23515;1;1
Retinopathy of prematurity, unspecified, left eye;Nondisplaced spiral fracture of shaft of ulna, left arm, subsequent encounter for closed fracture with delayed healing;;False;56079;0;4
Twin pregnancy, unable to determine number of placenta and number of amniotic sacs, unspecified trimester;Activity, ice hockey;;True;14863;1;3
Wedge compression fracture of T11-T12 vertebra, initial encounter for open fracture;Displaced subtrochanteric fracture of right femur, subsequent encounter for closed fracture with nonunion;;True;6736;2;1
Conjunctivochalasis, bilateral;Salter-Harris Type III physeal fracture of upper end of left tibia, subsequent encounter for fracture with delayed healing;;False;48368;2;4
External constriction, left lesser toe(s), subsequent encounter;Hypertensive heart disease;2024-12-08T00:00:00.0000000+01:00;True;66549;0;2
Torus fracture of lower end of left humerus, sequela;Malar fracture, right side;;True;42421;0;2
Blister (nonthermal), right thigh;Oligohydramnios, unspecified trimester, other fetus;;False;23833;2;1
Other infective (teno)synovitis, left ankle and foot;Driver of heavy transport vehicle injured in collision with pedestrian or animal in traffic accident, subsequent encounter;;False;8993;2;0
Type 2 diabetes mellitus with other specified complication;Superficial foreign body of nose, subsequent encounter;2024-04-05T00:00:00.0000000+02:00;False;45707;3;4
Other specified injury of dorsal artery of left foot;Poisoning by unspecified systemic anti-infective and antiparasitics, assault, initial encounter;2023-08-12T00:00:00.0000000+02:00;True;10335;4;3
Other congenital malformations of penis;Nondisplaced articular fracture of head of unspecified femur, subsequent encounter for open fracture type I or II with malunion;2024-10-01T00:00:00.0000000+02:00;False;86368;4;2
Unspecified fracture of unspecified talus, initial encounter for closed fracture;Other insomnia not due to a substance or known physiological condition;2024-02-03T00:00:00.0000000+01:00;True;82281;2;2
Burn of third degree of right thigh, subsequent encounter;Displaced transverse fracture of shaft of unspecified tibia, subsequent encounter for closed fracture with nonunion;;True;55912;2;1
Laceration of dorsal artery of unspecified foot;Person injured while boarding or alighting from special industrial vehicle;2024-05-02T00:00:00.0000000+02:00;True;32445;4;3
Unspecified superficial injury of left index finger, initial encounter;Chronic hepatic failure without coma;;True;2546;3;3
Cocaine dependence with cocaine-induced sexual dysfunction;Osteonecrosis in diseases classified elsewhere, other site;;False;77387;0;1
Pedestrian on roller-skates injured in collision with heavy transport vehicle or bus, unspecified whether traffic or nontraffic accident;Acute lymphangitis of trunk;2023-10-10T00:00:00.0000000+02:00;True;77925;1;3
Forced landing of ultralight, microlight or powered-glider injuring occupant;Salter-Harris Type I physeal fracture of upper end of unspecified femur, sequela;2024-01-01T00:00:00.0000000+01:00;True;25351;2;0
Poisoning by unspecified drugs acting on muscles, accidental (unintentional);Minor laceration of inferior mesenteric artery;2023-08-11T00:00:00.0000000+02:00;False;42143;4;1
Hit by object from burning building or structure in controlled fire;Helicopter fire injuring occupant, initial encounter;;True;29222;1;4
Toxic effect of contact with other venomous fish, undetermined;Prolonged pregnancy;;False;761;3;1
Poisoning by smallpox vaccines, accidental (unintentional);Burn of second degree of head, face, and neck;;True;42927;1;2
Pressure ulcer of sacral region, unspecified stage;Drug-induced chronic gout, unspecified ankle and foot, without tophus (tophi);;True;84411;0;2
Nondisplaced fracture of coronoid process of right ulna;Displaced bicondylar fracture of right tibia, initial encounter for open fracture type IIIA, IIIB, or IIIC;;False;14431;2;1
Nondisplaced fracture of medial condyle of unspecified femur, subsequent encounter for open fracture type I or II with nonunion;Intentional self-harm by drowning and submersion after jump into swimming pool;2023-10-11T00:00:00.0000000+02:00;False;37830;2;0
Congenital talipes calcaneovarus;Angular blepharoconjunctivitis, right eye;;True;1365;3;0
External cause status;Poisoning by 4-Aminophenol derivatives, accidental (unintentional);;False;7341;4;0
Unspecified fracture of unspecified pubis, subsequent encounter for fracture with delayed healing;Nondisplaced fracture of acromial process, left shoulder, initial encounter for open fracture;;True;59591;2;0
Recurrent dislocation of patella, left knee;Nephrotic syndrome with diffuse crescentic glomerulonephritis;;True;40731;2;1
Other specified crystal arthropathies, vertebrae;Puncture wound with foreign body of right thumb without damage to nail, initial encounter;;False;40575;1;4
Direct infection of wrist in infectious and parasitic diseases classified elsewhere;Adverse effect of peripheral vasodilators, sequela;;False;80301;4;1
Drowning and submersion due to falling or jumping from burning canoe or kayak;Displaced fracture of left radial styloid process, sequela;2023-05-11T00:00:00.0000000+02:00;True;66354;0;1
Displaced fracture of base of neck of left femur, initial encounter for open fracture type IIIA, IIIB, or IIIC;Superficial foreign body, unspecified lesser toe(s);;False;24326;2;1
Contusion of bladder, sequela;Displacement of unspecified vascular grafts, subsequent encounter;;False;53737;3;0
Chronic tubotympanic suppurative otitis media, right ear;Other symptoms and signs involving cognitive functions following other cerebrovascular disease;;False;7598;4;2
Congenital stenosis of aortic valve;Underdosing of vitamins, sequela;;False;62863;2;0
Underdosing of other drugs acting on muscles, initial encounter;Unspecified open wound of left shoulder, sequela;;False;26060;4;1
Laceration of unspecified tibial artery, left leg, initial encounter;Person boarding or alighting a pick-up truck or van injured in collision with pedal cycle, subsequent encounter;;False;5163;3;4
Nondisplaced spiral fracture of shaft of radius, unspecified arm, subsequent encounter for closed fracture with nonunion;Nondisplaced bimalleolar fracture of unspecified lower leg, subsequent encounter for closed fracture with malunion;2024-01-07T00:00:00.0000000+01:00;True;69077;4;2
Other nondisplaced fracture of base of first metacarpal bone, left hand, subsequent encounter for fracture with nonunion;Displaced Maisonneuve's fracture of unspecified leg, subsequent encounter for open fracture type I or II with nonunion;;True;37359;2;3
Nondisplaced transverse fracture of shaft of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing;Blister (nonthermal) of unspecified external genital organs, female;;True;28028;3;2
Assault by unspecified explosive, initial encounter;Nondisplaced fracture of posterior column [ilioischial] of right acetabulum, sequela;;False;10925;4;0
Anterior subluxation of unspecified sternoclavicular joint, subsequent encounter;Person on outside of snowmobile injured in nontraffic accident, subsequent encounter;;False;26099;3;4
Unspecified open wound, left hip;Poisoning by unspecified drugs, medicaments and biological substances, intentional self-harm;;True;71420;0;1
Strain of other muscles, fascia and tendons at shoulder and upper arm level, unspecified arm, subsequent encounter;Abscess of tendon sheath, forearm;2024-07-02T00:00:00.0000000+02:00;True;13375;4;0
Salter-Harris Type IV physeal fracture of unspecified calcaneus, subsequent encounter for fracture with malunion;Displaced oblique fracture of shaft of unspecified fibula, subsequent encounter for closed fracture with delayed healing;;True;52397;2;3
Intervertebral disc disorders with radiculopathy, thoracic region;Osteitis deformans of unspecified ankle and foot;;True;14608;2;0
Unspecified injury of flexor muscle, fascia and tendon of left index finger at wrist and hand level;Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye;2024-12-05T00:00:00.0000000+01:00;False;75602;4;4
Unspecified atrioventricular block;Performance of procedure (operation) on patient not scheduled for surgery;;True;21357;2;1
Frostbite with tissue necrosis of left toe(s), subsequent encounter;Displaced transverse fracture of shaft of humerus, left arm, subsequent encounter for fracture with delayed healing;2024-11-02T00:00:00.0000000+01:00;True;16598;1;1
Toxic effect of venom of ants, assault, subsequent encounter;Laceration of dorsal vein of unspecified foot, initial encounter;;True;8580;3;1
Displaced fracture of capitate [os magnum] bone, left wrist, subsequent encounter for fracture with routine healing;Traumatic rupture of symphysis pubis, subsequent encounter;;False;62385;4;1
Other injury of flexor muscle, fascia and tendon of right middle finger at wrist and hand level;Acute myeloid leukemia with multilineage dysplasia, in remission;;True;22308;2;0
Injury of facial nerve, right side, subsequent encounter;Nondisplaced spiral fracture of shaft of radius, right arm, subsequent encounter for open fracture type I or II with delayed healing;2023-06-11T00:00:00.0000000+02:00;False;47460;2;3
Insomnia due to medical condition;Struck by baseball bat, sequela;;True;58604;4;2
Other fracture of upper end of unspecified tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing;Interstitial myositis, left thigh;;True;67851;4;2
Procreative counseling and advice using natural family planning;Galeazzi's fracture of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing;;False;66290;4;0
Poisoning by unspecified hormones and synthetic substitutes, accidental (unintentional), subsequent encounter;Food in esophagus causing compression of trachea, initial encounter;2023-05-11T00:00:00.0000000+02:00;False;79511;2;1
Other types of follicular lymphoma, lymph nodes of inguinal region and lower limb;Nondisplaced fracture of lateral cuneiform of right foot;;False;37603;2;3
Displaced transverse fracture of shaft of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion;Other specified disorders of prostate;;True;84193;1;4
Assault by other specified means, initial encounter;Adverse effect of beta-adrenoreceptor antagonists, initial encounter;2023-09-09T00:00:00.0000000+02:00;False;11209;1;1
Other fracture of shaft of radius, right arm, subsequent encounter for closed fracture with delayed healing;Chronic postrheumatic arthropathy [Jaccoud], left shoulder;;True;78407;3;3
Food in trachea causing other injury, initial encounter;Occupant of streetcar injured in collision with or hit by rolling stock, initial encounter;2024-02-05T00:00:00.0000000+01:00;False;31810;2;3
Chronic giant papillary conjunctivitis;Unspecified fracture of lower end of right femur, subsequent encounter for open fracture type I or II with nonunion;2024-06-02T00:00:00.0000000+02:00;False;32276;1;0
Nondisplaced fracture of medial wall of left acetabulum, sequela;Underdosing of unspecified drugs acting on muscles, initial encounter;2023-12-10T00:00:00.0000000+01:00;True;17794;1;1
Other injury of extensor muscle, fascia and tendon of right middle finger at wrist and hand level, subsequent encounter;Nondisplaced fracture of olecranon process without intraarticular extension of unspecified ulna, sequela;2024-03-05T00:00:00.0000000+01:00;True;75073;1;2
Fracture of subcondylar process of mandible, unspecified side, subsequent encounter for fracture with routine healing;Effects of abnormal gravitation [G] forces;2024-06-08T00:00:00.0000000+02:00;True;8646;4;2
Nondisplaced oblique fracture of shaft of unspecified tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing;Traumatic rupture of other ligament of right middle finger at metacarpophalangeal and interphalangeal joint, initial encounter;;False;31088;4;3
Toxic effect of paints and dyes, not elsewhere classified, undetermined, sequela;Displacement of intrauterine contraceptive device;2024-05-08T00:00:00.0000000+02:00;False;26762;4;1
Other specified disorders of lens;Moderate laceration of head of pancreas;;False;50426;2;2
Effusion, unspecified ankle;Poisoning by other viral vaccines, undetermined, sequela;;True;43496;0;0
Laceration of flexor muscle, fascia and tendon of left little finger at forearm level, initial encounter;Stable burst fracture of unspecified thoracic vertebra, initial encounter for open fracture;;False;82533;4;0
Corrosion of third degree of left upper arm, initial encounter;Primary osteoarthritis ankle and foot;2024-08-05T00:00:00.0000000+02:00;False;45444;1;0
Unspecified fracture of upper end of right ulna, subsequent encounter for closed fracture with malunion;Pressure ulcer of unspecified buttock;;True;39243;3;2
Displaced dome fracture of right talus, initial encounter for closed fracture;Complete loss of teeth, unspecified cause, unspecified class;2023-07-09T00:00:00.0000000+02:00;False;80527;2;4
Displaced fracture of olecranon process without intraarticular extension of left ulna, subsequent encounter for closed fracture with nonunion;Other cervical disc disorders, mid-cervical region, unspecified level;;True;74287;2;4
