title;description;deadline;completed;duration;importance;hatelevel
Injury of unspecified nerve at lower leg level, unspecified leg;Encounter for other general counseling and advice on contraception;;True;40096;3;2
Displaced fracture of medial phalanx of right index finger;Nondisplaced comminuted fracture of left patella, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion;;True;3050;4;1
Monoclonal mast cell activation syndrome;Laceration of unspecified blood vessel at wrist and hand level of left arm, subsequent encounter;;False;48966;2;2
Puncture wound with foreign body of larynx, subsequent encounter;War operations involving explosion of unspecified marine weapon, civilian;2024-08-05T00:00:00.0000000+02:00;True;18187;5;5
Fracture of xiphoid process, subsequent encounter for fracture with nonunion;Assault by drowning and submersion after push into swimming pool;;False;35067;5;2
Paresis of accommodation;Poisoning by antihyperlipidemic and antiarteriosclerotic drugs, assault, sequela;;True;49389;2;3
Primary blast injury of bronchus, bilateral, sequela;Unspecified injury of right elbow, sequela;2024-10-04T00:00:00.0000000+02:00;True;81951;3;1
Displaced fracture of cuboid bone of unspecified foot, subsequent encounter for fracture with delayed healing;Other traumatic nondisplaced spondylolisthesis of second cervical vertebra, subsequent encounter for fracture with nonunion;2023-11-11T00:00:00.0000000+01:00;False;8206;5;5
Other calcification of muscle, unspecified shoulder;Other disorders of skin and subcutaneous tissue related to radiation;;True;18394;1;3
Maternal care for other specified fetal problems, first trimester, other fetus;Unspecified fracture of unspecified forearm, subsequent encounter for closed fracture with nonunion;;False;34122;5;4
Poisoning by hemostatic drug, intentional self-harm, subsequent encounter;Pedal cycle driver injured in collision with heavy transport vehicle or bus in traffic accident, subsequent encounter;2023-08-10T00:00:00.0000000+02:00;False;21182;5;1
Type III traumatic spondylolisthesis of sixth cervical vertebra, sequela;Nontraumatic subarachnoid hemorrhage from left vertebral artery;;True;72177;3;3
Laceration with foreign body of lower leg;Laceration with foreign body of unspecified hand, initial encounter;2024-10-02T00:00:00.0000000+02:00;False;60384;2;3
Major laceration of pulmonary blood vessels;Other myositis, unspecified thigh;;False;69814;5;4
Traumatic rupture of collateral ligament of finger at metacarpophalangeal and interphalangeal joint;Other symptoms and signs involving general sensations and perceptions;;False;17775;2;4
Contusion of right upper arm, initial encounter;Other fracture of T7-T8 thoracic vertebra, subsequent encounter for fracture with delayed healing;;True;55127;4;1
Encounter for examination of blood pressure;Corrosion of second degree of scalp [any part];;False;34991;3;1
Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, bilateral;Erectile dysfunction following radical prostatectomy;2024-05-07T00:00:00.0000000+02:00;False;85916;2;4
Driver of pick-up truck or van injured in collision with pedestrian or animal in traffic accident, initial encounter;Pedal cycle passenger injured in collision with car, pick-up truck or van in nontraffic accident, initial encounter;;False;22362;1;4
Displaced fracture of right tibial tuberosity, sequela;Displaced comminuted fracture of shaft of left tibia, subsequent encounter for closed fracture with delayed healing;2023-12-09T00:00:00.0000000+01:00;True;62258;3;4
Fracture of unspecified part of neck of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing;Other disorders of continuity of bone, unspecified hand;2024-12-06T00:00:00.0000000+01:00;False;56218;1;2
Partial traumatic amputation of left great toe, initial encounter;Other juvenile arthritis, right hip;2023-10-09T00:00:00.0000000+02:00;False;26808;4;3
Poisoning by loop [high-ceiling] diuretics, undetermined;Drowning and submersion due to being thrown overboard by motion of fishing boat, initial encounter;2024-03-03T00:00:00.0000000+01:00;True;55365;5;3
Nondisplaced spiral fracture of shaft of unspecified femur, subsequent encounter for closed fracture with routine healing;Driver of heavy transport vehicle injured in collision with unspecified motor vehicles in nontraffic accident, sequela;;False;45759;4;3
Nontraumatic subarachnoid hemorrhage;Displaced fracture of medial condyle of right tibia, initial encounter for closed fracture;;False;72334;1;1
Poisoning by unspecified topical agent, intentional self-harm, subsequent encounter;Major contusion of left kidney, subsequent encounter;;False;61742;1;2
Nondisplaced fracture of fifth metatarsal bone, left foot, subsequent encounter for fracture with nonunion;Poisoning by antineoplastic and immunosuppressive drugs, undetermined, initial encounter;2024-12-03T00:00:00.0000000+01:00;True;6136;2;4
Corrosion of unspecified degree of unspecified thigh, sequela;Burns of other specified parts of left eye and adnexa, subsequent encounter;;False;72628;1;1
Inferior dislocation of unspecified humerus, sequela;Other chronic osteomyelitis, left thigh;;False;46346;4;1
Hallervorden-Spatz disease;Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of heel and midfoot;;False;40074;1;4
Rheumatoid bursitis, right hand;Nondisplaced spiral fracture of shaft of left tibia, subsequent encounter for open fracture type I or II with nonunion;;True;56312;4;5
Unspecified physeal fracture of left calcaneus, subsequent encounter for fracture with malunion;Preterm labor second trimester with preterm delivery second trimester, fetus 2;2024-04-05T00:00:00.0000000+02:00;True;2088;3;2
Displaced fracture of medial condyle of unspecified tibia, subsequent encounter for open fracture type I or II with malunion;Motorcycle passenger injured in collision with car, pick-up truck or van in traffic accident, sequela;2024-03-05T00:00:00.0000000+01:00;True;34516;5;1
Chronic viral hepatitis B without delta-agent;Food in larynx;;True;57945;4;3
Unspecified injury of popliteal artery, left leg, initial encounter;Rheumatoid polyneuropathy with rheumatoid arthritis of unspecified ankle and foot;;False;26519;5;1
Traumatic rupture of other ligament of unspecified finger at metacarpophalangeal and interphalangeal joint, initial encounter;Brown-Sequard syndrome at T2-T6 level of thoracic spinal cord, sequela;2024-03-08T00:00:00.0000000+01:00;False;35245;5;1
Crushing injury of penis, sequela;Displaced unspecified condyle fracture of lower end of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing;2023-05-09T00:00:00.0000000+02:00;True;42097;1;2
Poisoning by heroin, undetermined, subsequent encounter;Laceration of abdominal wall with foreign body, right lower quadrant without penetration into peritoneal cavity, subsequent encounter;;True;64800;4;2
Observation and evaluation of newborn for unspecified suspected condition ruled out;Nelson's syndrome;2023-07-11T00:00:00.0000000+02:00;False;54921;1;2
Other transplanted tissue failure;Insect bite (nonvenomous) of left wrist, sequela;2023-02-10T00:00:00.0000000+01:00;False;67489;5;3
Carcinoma in situ of unspecified male genital organs;Traumatic rupture of volar plate of right middle finger at metacarpophalangeal and interphalangeal joint;2024-07-03T00:00:00.0000000+02:00;True;7642;2;5
Poisoning by expectorants, intentional self-harm, initial encounter;Displaced fracture of acromial process, left shoulder, subsequent encounter for fracture with delayed healing;;True;45403;1;1
Pedal cycle driver injured in collision with fixed or stationary object in traffic accident;Chronic multifocal osteomyelitis, left humerus;2023-11-09T00:00:00.0000000+01:00;True;74427;2;2
Nondisplaced spiral fracture of shaft of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing;Dislocation of tarsometatarsal joint of unspecified foot;;True;62903;2;1
Nondisplaced fracture of lower epiphysis (separation) of unspecified femur, subsequent encounter for closed fracture with routine healing;Nondisplaced comminuted fracture of shaft of right femur, initial encounter for open fracture type I or II;;False;23122;2;4
Nondisplaced fracture of epiphysis (separation) (upper) of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion;Burn of second degree of right ankle, subsequent encounter;;True;60807;4;1
Displaced fracture of lower epiphysis (separation) of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing;Bennett's fracture, left hand, initial encounter for open fracture;;False;30253;2;4
Toxic effect of nitrogen oxides, accidental (unintentional), subsequent encounter;Ventral hernia;;False;82428;3;1
Sprain of interphalangeal joint of left index finger, sequela;Acute myeloid leukemia with 11q23-abnormality;;True;50367;4;2
Corrosion of third degree of left wrist, sequela;Erosion of other implanted mesh to organ or tissue;;True;58396;2;5
Rheumatoid myopathy with rheumatoid arthritis of unspecified site;Open bite of abdominal wall, unspecified quadrant with penetration into peritoneal cavity, sequela;;False;42104;3;1
Legal intervention involving unspecified firearm discharge, suspect injured;Idiopathic acute pancreatitis without necrosis or infection;2024-03-08T00:00:00.0000000+01:00;True;69505;3;4
Obesity complicating pregnancy, second trimester;Poisoning by other drugs acting on muscles, undetermined, sequela;;False;22842;1;4
Poisoning by other antidysrhythmic drugs, undetermined, sequela;Other specified injury of blood vessel of unspecified finger;;False;50212;3;3
Other nondisplaced fracture of sixth cervical vertebra, sequela;Burn of first degree of left lower leg, sequela;;True;37439;4;1
Nondisplaced unspecified condyle fracture of lower end of right femur, initial encounter for open fracture type IIIA, IIIB, or IIIC;Phlebitis and thrombophlebitis of superficial vessels of left lower extremity;;True;46578;3;1
External constriction of unspecified elbow;Sprain of radiocarpal joint of left wrist, subsequent encounter;;True;64499;1;3
Monteggia's fracture of left ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing;Corrosions involving 10-19% of body surface with 10-19% third degree corrosion;;True;14472;4;1
Blepharochalasis left eye, unspecified eyelid;Nondisplaced Maisonneuve's fracture of left leg, subsequent encounter for closed fracture with routine healing;;True;54095;2;3
Injury of unspecified nerve at wrist and hand level of right arm, sequela;Displaced fracture of unspecified tibial tuberosity, subsequent encounter for closed fracture with malunion;;False;64525;5;4
Other fracture of shaft of radius, unspecified arm, subsequent encounter for closed fracture with nonunion;Osteonecrosis due to drugs, left femur;;True;6029;1;4
Nondisplaced fracture of distal phalanx of left middle finger, initial encounter for open fracture;Laceration without foreign body, left ankle, subsequent encounter;;True;37393;5;1
Open bite of unspecified part of head, sequela;Frostbite with tissue necrosis of right wrist, initial encounter;;False;81148;3;1
Other specified disorders of tympanic membrane;Nondisplaced fracture of epiphysis (separation) (upper) of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion;;True;44443;2;4
Acute leukemia of unspecified cell type, in remission;Accidental scratch by another person;2024-05-05T00:00:00.0000000+02:00;False;22411;5;3
Continuing pregnancy after intrauterine death of one fetus or more, third trimester, other fetus;Non-follicular (diffuse) lymphoma, unspecified, lymph nodes of head, face, and neck;;False;52381;1;1
Other specified injuries of left shoulder and upper arm, initial encounter;Contusion of unspecified front wall of thorax, initial encounter;;False;63667;4;1
Traumatic subdural hemorrhage with loss of consciousness greater than 24 hours without return to pre-existing conscious level with patient surviving;Osteochondropathy, unspecified, unspecified thigh;;False;60482;5;4
Toxic effect of taipan venom, undetermined;Pregnancy care for patient with recurrent pregnancy loss;;True;44211;5;2
Displacement of biological heart valve graft;Pedestrian on foot injured in collision with car, pick-up truck or van in traffic accident;;False;53754;2;2
Pathological fracture in other disease, left shoulder, subsequent encounter for fracture with malunion;Vaginismus;;False;47818;5;3
Pathological fracture in neoplastic disease, hip, unspecified, subsequent encounter for fracture with routine healing;Cutaneous erysipeloid;;False;71279;1;1
Other nondisplaced fracture of fifth cervical vertebra, sequela;Nondisplaced segmental fracture of shaft of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing;;False;44584;5;4
Displaced avulsion fracture of tuberosity of right calcaneus;Unspecified fracture of unspecified femur, subsequent encounter for open fracture type I or II with nonunion;;False;59518;4;1
Contusion of left ear, initial encounter;Non-pressure chronic ulcer of back;2024-05-01T00:00:00.0000000+02:00;False;58287;3;2
Corrosion of second degree of lower back, subsequent encounter;Military operations involving explosion of sea-based artillery shell;;True;72751;4;5
Other specified injuries of right elbow, subsequent encounter;Unspecified injury of unspecified elbow;;True;76997;3;4
Other benign neoplasm of skin of left upper limb, including shoulder;Nondisplaced fracture of lateral malleolus of right fibula, initial encounter for open fracture type I or II;;True;58747;1;3
Salter-Harris Type IV physeal fracture of lower end of left femur, subsequent encounter for fracture with delayed healing;Displaced fracture of distal phalanx of left great toe, subsequent encounter for fracture with routine healing;;False;10566;3;5
Corrosion of unspecified degree of right upper arm, sequela;Underdosing of other fibrinolysis-affecting drugs, subsequent encounter;2024-10-07T00:00:00.0000000+02:00;True;64026;3;2
Meniere's disease, bilateral;Unspecified fracture of lower end of left ulna, subsequent encounter for open fracture type I or II with routine healing;;True;49997;1;1
Underdosing of antivaricose drugs, including sclerosing agents, subsequent encounter;Traumatic rupture of volar plate of left little finger at metacarpophalangeal and interphalangeal joint, initial encounter;;False;81424;1;1
Abscess of Bartholin's gland;Unspecified motorcycle rider injured in collision with pedestrian or animal in traffic accident;;False;37563;5;2
Postthrombotic syndrome without complications;Toxic effect of coral snake venom, undetermined, initial encounter;;False;25418;5;3
Open bite of lower leg;Unspecified physeal fracture of lower end of humerus, unspecified arm;2024-11-06T00:00:00.0000000+01:00;True;63765;4;3
Unspecified occupant of heavy transport vehicle injured in collision with pedal cycle in traffic accident, sequela;Poisoning by unspecified psychostimulants, undetermined;;True;2808;4;5
Transfusion associated circulatory overload;Encounter for fitting and adjustment of non-vascular catheter;2024-11-03T00:00:00.0000000+01:00;True;13702;3;4
Displaced fracture of navicular [scaphoid] of right foot, subsequent encounter for fracture with malunion;Acute slipped upper femoral epiphysis (nontraumatic), left hip;2024-07-06T00:00:00.0000000+02:00;False;34698;2;2
Other intentional self-harm by drowning and submersion;Other spondylosis, thoracic region;;True;6167;4;4
Burn of third degree of left wrist, sequela;Acute eczematoid otitis externa, right ear;;False;64877;1;5
Adverse effect of other specified systemic anti-infectives and antiparasitics, initial encounter;Obturator subluxation of left hip;2024-11-07T00:00:00.0000000+01:00;False;23147;5;3
Non-ABO incompatibility reaction due to transfusion of blood or blood products, unspecified;Other specified injury of vein at forearm level, right arm, subsequent encounter;2024-07-03T00:00:00.0000000+02:00;True;27476;2;5
Chagas' disease (chronic) with nervous system involvement;Unspecified disorder of synovium and tendon, ankle and foot;;True;45685;5;5
Fall from heelies;Other superficial bite of left forearm;;False;41233;2;1
Frostbite with tissue necrosis of neck, initial encounter;Injury of renal blood vessels;;True;75423;1;5
Superficial foreign body of left middle finger, subsequent encounter;Unspecified complication of foreign body accidentally left in body following aspiration, puncture or other catheterization, sequela;;False;49277;5;3
Simple chronic conjunctivitis, right eye;Other displaced fracture of base of first metacarpal bone, left hand, subsequent encounter for fracture with delayed healing;;False;72771;1;1
Salter-Harris Type II physeal fracture of lower end of ulna, right arm, initial encounter for closed fracture;Unspecified fracture of left lower leg, sequela;2024-11-05T00:00:00.0000000+01:00;True;7047;3;5
Adverse effect of other antiepileptic and sedative-hypnotic drugs, sequela;Torus fracture of lower end of left tibia, subsequent encounter for fracture with routine healing;2023-11-12T00:00:00.0000000+01:00;True;71828;1;3
Subluxation of L3/L4 lumbar vertebra, subsequent encounter;Dislocation of jaw, right side, subsequent encounter;;False;3257;2;4
Laceration of muscle, fascia and tendon of triceps, unspecified arm, subsequent encounter;Puncture wound with foreign body of left index finger without damage to nail, subsequent encounter;2024-01-03T00:00:00.0000000+01:00;False;62079;2;1
Unspecified injury of fallopian tube, unilateral, sequela;Burn of first degree of chest wall, initial encounter;2023-08-10T00:00:00.0000000+02:00;True;3682;5;1
Injury of vertebral artery;Blister (nonthermal) of nose;;False;79467;4;5
Pedestrian with other conveyance injured in collision with car, pick-up truck or van in traffic accident, sequela;Trigger finger, left index finger;2024-09-01T00:00:00.0000000+02:00;False;44470;3;3
Puncture wound with foreign body of unspecified shoulder;Strain of muscle and tendon of long flexor muscle of toe at ankle and foot level, left foot;;True;20270;1;2
Toxic effect of contact with venomous toad, intentional self-harm, initial encounter;Failed or difficult intubation for anesthesia during pregnancy, first trimester;;False;20627;5;3
Intraventricular (nontraumatic) hemorrhage, grade 1, of newborn;Immersion foot, right foot, sequela;;True;83555;1;1
Phlebitis and thrombophlebitis;Corrosion of second degree of left palm, sequela;;True;85105;2;4
Displaced apophyseal fracture of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing;Nondisplaced spiral fracture of shaft of unspecified fibula, initial encounter for open fracture type IIIA, IIIB, or IIIC;;False;15665;5;1
Injury of cervical sympathetic nerves;Stable burst fracture of second lumbar vertebra, initial encounter for closed fracture;;False;57276;4;2
Unspecified abdominal hernia with gangrene;Minor laceration of left vertebral artery, subsequent encounter;2024-07-04T00:00:00.0000000+02:00;False;9569;3;4
Neoplasm of uncertain behavior of other specified male genital organs;Encounter for other contraceptive management;;False;49191;3;5
Laceration of dorsal vein of unspecified foot, initial encounter;Military operations involving explosion of guided missile, military personnel;2024-03-04T00:00:00.0000000+01:00;False;11708;5;3
Failed moderate sedation during procedure, sequela;Anonychia;2024-12-01T00:00:00.0000000+01:00;False;16056;3;5
Impacted cerumen, right ear;Major laceration of right internal jugular vein, subsequent encounter;2023-03-11T00:00:00.0000000+01:00;False;56007;2;4
Accidental puncture and laceration of eye and adnexa during an ophthalmic procedure, bilateral;Unspecified pedal cyclist injured in collision with pedestrian or animal in traffic accident, subsequent encounter;;True;50646;2;5
Other nondisplaced fracture of upper end of unspecified humerus, initial encounter for closed fracture;Fracture of superior rim of unspecified pubis, subsequent encounter for fracture with nonunion;2023-05-10T00:00:00.0000000+02:00;False;16940;5;5
Congenital infectious or parasitic disease, unspecified;Other unilateral secondary osteoarthritis of knee;;False;82500;3;3
Displaced fracture of right tibial tuberosity, initial encounter for closed fracture;Complete traumatic amputation of unspecified ear;;True;8933;2;1
Ocular hypertension, right eye;Other recurrent vertebral dislocation;2024-08-08T00:00:00.0000000+02:00;True;35368;1;5
Foreign body in ear;Other obstetric injury to pelvic organs;2024-06-06T00:00:00.0000000+02:00;True;58583;2;4
Unspecified retrovirus as the cause of diseases classified elsewhere;Unspecified occupant of bus injured in collision with other nonmotor vehicle in traffic accident, sequela;;True;12213;2;2
Unspecified superficial injury of left ankle, initial encounter;Strain of intrinsic muscle, fascia and tendon of unspecified thumb at wrist and hand level, subsequent encounter;;False;82347;5;5
Unspecified injury of unspecified part of colon, sequela;Corrosion of unspecified degree of right wrist, subsequent encounter;;True;71890;2;5
Unspecified subluxation of right knee;Unspecified injury of muscle, fascia and tendon of triceps, left arm, sequela;;True;52337;4;1
Nondisplaced apophyseal fracture of unspecified femur, subsequent encounter for open fracture type I or II with nonunion;Underdosing of cocaine, subsequent encounter;;True;61939;3;4
Superficial foreign body of right elbow, initial encounter;Poisoning by otorhinolaryngological drugs and preparations, intentional self-harm, sequela;2023-03-10T00:00:00.0000000+01:00;False;13507;5;2
Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema;Strain of muscle, fascia and tendon of triceps, right arm, initial encounter;2024-12-03T00:00:00.0000000+01:00;True;59475;4;3
Unspecified occupant of bus injured in noncollision transport accident in traffic accident, initial encounter;Injury of facial nerve, left side, initial encounter;2024-10-05T00:00:00.0000000+02:00;True;74795;3;4
Unspecified fracture of lower end of left ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing;Otitis media in diseases classified elsewhere, bilateral;;True;55265;5;5
Delayed separation of umbilical cord;Pecked by chicken;2023-04-10T00:00:00.0000000+02:00;True;25260;3;2
Posterior subcapsular polar infantile and juvenile cataract, unspecified eye;Laceration without foreign body of unspecified shoulder;;True;26063;3;4
Burn of second degree of neck, subsequent encounter;Burn of third degree of left thigh, subsequent encounter;;False;57374;5;3
Displaced comminuted fracture of shaft of unspecified tibia, initial encounter for closed fracture;Other injury due to accident on board watercraft, without accident to watercraft;2024-07-01T00:00:00.0000000+02:00;True;48522;2;4
Infective myositis, unspecified thigh;Angioplasty status;;False;79305;5;4
Laceration of unspecified quadriceps muscle, fascia and tendon;Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage affecting left non-dominant side;2023-03-12T00:00:00.0000000+01:00;False;64553;2;3
Ataxic gait;Displaced transverse fracture of shaft of right femur, initial encounter for open fracture type IIIA, IIIB, or IIIC;;True;27704;4;1
Other dislocation of unspecified patella, sequela;Encounter for therapeutic drug level monitoring;;False;73460;1;1
Puncture wound with foreign body of right breast, initial encounter;Benign carcinoid tumors of the appendix, large intestine, and rectum;2024-03-03T00:00:00.0000000+01:00;False;41079;4;1
Driver of heavy transport vehicle injured in collision with unspecified motor vehicles in traffic accident;Displaced segmental fracture of shaft of humerus, right arm, subsequent encounter for fracture with delayed healing;2024-10-08T00:00:00.0000000+02:00;True;45815;1;3
Car occupant injured in collision with fixed or stationary object;Other specified dorsopathies, thoracolumbar region;;True;527;3;2
Blizzard (snow)(ice);Other specified local infections of the skin and subcutaneous tissue;;True;11036;3;5
Flail joint, left wrist;Dissection of unspecified artery;2024-01-09T00:00:00.0000000+01:00;False;27628;5;3
Sprain of left sternoclavicular joint, sequela;Other specified dorsopathies, occipito-atlanto-axial region;;False;47432;4;4
Strain of intrinsic muscle, fascia and tendon of right ring finger at wrist and hand level, sequela;Nondisplaced fracture of coronoid process of left ulna;;False;71013;3;5
Idiopathic gout, unspecified shoulder;Puncture wound without foreign body of right back wall of thorax with penetration into thoracic cavity, subsequent encounter;;True;2974;1;1
Fracture of unspecified phalanx of left ring finger;Type 2 diabetes mellitus with proliferative diabetic retinopathy with macular edema, left eye;2024-02-03T00:00:00.0000000+01:00;True;51747;1;1
Minimally displaced Zone III fracture of sacrum, initial encounter for open fracture;Sprain of unspecified collateral ligament of left knee, sequela;2024-10-08T00:00:00.0000000+02:00;False;19206;2;2
Poisoning by alpha-adrenoreceptor antagonists, undetermined, sequela;Immersion foot, unspecified foot;;True;70510;1;5
Homonymous bilateral field defects;Frostbite with tissue necrosis of left toe(s), sequela;;True;14686;2;5
Immunization not carried out because of patient refusal;Helicopter collision injuring occupant;;False;1350;3;1
External constriction of unspecified external genital organs, male, subsequent encounter;Other injury of heart without hemopericardium, sequela;2023-11-10T00:00:00.0000000+01:00;True;6733;1;3
Stress fracture, left fibula, initial encounter for fracture;Nondisplaced fracture (avulsion) of medial epicondyle of unspecified humerus, initial encounter for closed fracture;2024-02-07T00:00:00.0000000+01:00;False;56607;1;4
